Sample_ID,class
0a3c1ce47f3d456b758e723e3938e0b8,2
0fae0864ae1a3b386f6a26029438fb11,2
1431c539aa016cd92cae87404d22662b,2
1d4cbd9a6bd80b60c944fdcd8d4811fc,2
28a8f0775f6574960a83ac003e1e1cae,0
553ee6f627cbbbedc2c6dc4b3db427e3,2
5670066dab19633be38b2ed3bb8729f6,2
5684485130257d45f3f7c81064dfe1e9,2
5bb15fca52964659ee263500d8d02f40,2
614906cfae5509dc482a7a899346e3ff,2
6a4ad4c3e937fa03fca1ab7038dc7bbd,0
6f8c9e3e5a99d73c9b4264a4f36a9a8c,0
726cb14e1ef8c16643b52f87095e7801,0
7effc21d1eb18802c1441c61b1cc8e44,2
7fec72608b1bcdb29c4133ce062a1be5,0
89eb5bac5a260e5e2884ae9b370b058a,2
8c29cb26336ae376dbcafbd3bcf0ded4,2
96d1ad85ea5f8ecf43ed349e7d2e3ad3,2
977926298ddd149f832aef46a68dfb2e,2
9f44fb2c6eeb1d94e5068ada210cf3c2,2
ASC102,2
ASC103,2
ASC1043,0
ASC1044,0
ASC1045,0
ASC1047,0
ASC1048,0
ASC1050,0
ASC1055,0
ASC1056,0
ASC1059,0
ASC1060,0
ASC1061,0
ASC1063,0
ASC1068,0
ASC107,2
ASC1079,0
ASC108,2
ASC1081,0
ASC1083,0
ASC1084,0
ASC1087,0
ASC1088,0
ASC1090,0
ASC1093,0
ASC1096,0
ASC1099,0
ASC1100,0
ASC1102,0
ASC1103,0
ASC1105,0
ASC1107,0
ASC1108,0
ASC1110,0
ASC1111,0
ASC1112,0
ASC1113,0
ASC1123,0
ASC1124,0
ASC113,2
ASC1132,0
ASC1134,0
ASC1136,0
ASC1137,5
ASC1138,5
ASC1139,5
ASC114,2
ASC1140,5
ASC1141,5
ASC1143,5
ASC1144,5
ASC1145,5
ASC1146,5
ASC1147,5
ASC1148,5
ASC1149,5
ASC1150,5
ASC1151,5
ASC1152,5
ASC1153,5
ASC1154,5
ASC1155,5
ASC1156,5
ASC1157,5
ASC1158,5
ASC1159,5
ASC116,2
ASC1160,5
ASC1161,5
ASC1162,5
ASC1163,0
ASC1164,0
ASC1165,0
ASC1166,0
ASC1167,0
ASC1168,0
ASC1169,0
ASC117,2
ASC1171,0
ASC1172,0
ASC1174,0
ASC1177,0
ASC1179,0
ASC1180,5
ASC1181,5
ASC1182,5
ASC1183,5
ASC1184,5
ASC1185,5
ASC1186,5
ASC1187,5
ASC1188,5
ASC1189,5
ASC1190,5
ASC1191,5
ASC1192,5
ASC1194,5
ASC1196,5
ASC1199,5
ASC1201,5
ASC1203,5
ASC1204,5
ASC1207,5
ASC1209,5
ASC121,2
ASC1211,5
ASC1215,5
ASC1216,5
ASC1218,5
ASC1219,5
ASC122,2
ASC1220,5
ASC1221,5
ASC1222,5
ASC1225,5
ASC1226,5
ASC1227,5
ASC1229,5
ASC1230,5
ASC1231,5
ASC1235,5
ASC1237,5
ASC1238,5
ASC1241,5
ASC1242,5
ASC1245,5
ASC1246,5
ASC1254,0
ASC1255,0
ASC1266,4
ASC1269,4
ASC1270,4
ASC1272,4
ASC1274,4
ASC1285,7
ASC1287,7
ASC129,2
ASC1295,7
ASC1296,7
ASC1297,7
ASC1300,7
ASC1307,8
ASC1308,8
ASC1310,8
ASC1311,8
ASC1312,8
ASC1313,8
ASC1314,8
ASC1316,8
ASC1317,8
ASC1319,6
ASC132,2
ASC1320,6
ASC1322,6
ASC1324,6
ASC1328,6
ASC1332,6
ASC1333,6
ASC1335,6
ASC1336,6
ASC1338,6
ASC1339,0
ASC134,2
ASC1340,0
ASC1341,0
ASC1342,0
ASC1343,0
ASC1345,0
ASC1347,0
ASC1349,0
ASC1354,0
ASC1358,0
ASC1359,0
ASC1360,0
ASC1363,0
ASC1365,0
ASC1366,0
ASC1368,0
ASC137,2
ASC1370,0
ASC1371,0
ASC1372,0
ASC1373,0
ASC1375,0
ASC1377,0
ASC1387,5
ASC1389,5
ASC1392,5
ASC1395,5
ASC1396,5
ASC140,2
ASC1402,5
ASC1409,5
ASC141,2
ASC1419,5
ASC142,2
ASC1422,5
ASC1425,5
ASC1429,5
ASC1432,5
ASC1433,5
ASC1436,5
ASC1438,5
ASC1440,5
ASC1441,5
ASC1442,5
ASC1443,5
ASC1447,5
ASC1453,5
ASC1456,4
ASC1458,4
ASC1459,4
ASC1460,4
ASC1461,4
ASC1462,4
ASC1464,4
ASC1465,4
ASC1467,4
ASC1471,4
ASC1481,5
ASC1482,5
ASC1485,5
ASC1486,5
ASC1488,5
ASC1492,5
ASC1497,5
ASC1498,5
ASC1499,5
ASC150,2
ASC1501,5
ASC1503,5
ASC1504,5
ASC1506,5
ASC1508,5
ASC151,2
ASC1512,4
ASC1515,4
ASC1518,4
ASC1519,4
ASC152,2
ASC1524,4
ASC1529,4
ASC153,2
ASC1532,4
ASC1536,4
ASC1537,4
ASC1541,4
ASC1545,5
ASC1548,5
ASC1549,5
ASC1551,5
ASC1555,5
ASC1556,5
ASC156,2
ASC1564,5
ASC1565,5
ASC1570,0
ASC1573,0
ASC1574,0
ASC1576,0
ASC1578,0
ASC1581,0
ASC1584,0
ASC1589,0
ASC1590,0
ASC1594,4
ASC1596,4
ASC1598,4
ASC1601,4
ASC1603,4
ASC1604,4
ASC1613,4
ASC1614,4
ASC1615,4
ASC1617,4
ASC162,2
ASC1622,6
ASC1623,6
ASC1624,6
ASC1626,6
ASC1627,6
ASC1628,6
ASC1636,6
ASC1637,6
ASC1642,6
ASC1645,6
ASC1646,6
ASC1647,6
ASC1649,6
ASC165,2
ASC1650,6
ASC1657,6
ASC1658,6
ASC1662,6
ASC1663,6
ASC1666,6
ASC1668,6
ASC1669,6
ASC1671,6
ASC1673,6
ASC1674,6
ASC1676,6
ASC1678,6
ASC1680,6
ASC1683,6
ASC1686,6
ASC1688,6
ASC1690,6
ASC1691,6
ASC1693,6
ASC1694,6
ASC1695,6
ASC1697,6
ASC1698,6
ASC1699,6
ASC1701,0
ASC1703,0
ASC1706,0
ASC1707,0
ASC1708,0
ASC1709,0
ASC1714,0
ASC1715,0
ASC1716,0
ASC1717,0
ASC1720,0
ASC173,2
ASC174,2
ASC1757,0
ASC1758,0
ASC1759,0
ASC1760,0
ASC1763,0
ASC1778,0
ASC180,2
ASC183,2
ASC186,2
ASC187,2
ASC1877,0
ASC1879,0
ASC1880,0
ASC189,2
ASC190,2
ASC191,2
ASC1917,0
ASC1918,0
ASC1919,0
ASC1920,0
ASC1921,0
ASC1925,0
ASC1926,0
ASC1928,0
ASC193,2
ASC1930,0
ASC1933,0
ASC1934,0
ASC1936,0
ASC1939,0
ASC1941,0
ASC1944,0
ASC1945,0
ASC1946,0
ASC1947,0
ASC1948,0
ASC1949,0
ASC1972,0
ASC1973,0
ASC1974,0
ASC1975,0
ASC1977,0
ASC1978,0
ASC1979,0
ASC1981,0
ASC1984,0
ASC1985,0
ASC1986,0
ASC1988,0
ASC1989,0
ASC1994,0
ASC2014,0
ASC2017,0
ASC2018,0
ASC2019,0
ASC2021,0
ASC2025,0
ASC2271,0
ASC2273,0
ASC2275,0
ASC2276,0
ASC2278,0
ASC2538,3
ASC2539,3
ASC2540,3
ASC2541,3
ASC2542,3
ASC2543,3
ASC2544,3
ASC2545,3
ASC2546,3
ASC2549,3
ASC2550,3
ASC2556,3
ASC2557,3
ASC2558,3
ASC2559,3
ASC2567,1
ASC2570,1
ASC2580,1
ASC2599,3
ASC2600,3
ASC2601,3
ASC2603,3
ASC2605,3
ASC2606,3
ASC2607,3
ASC2609,3
ASC2610,3
ASC2628,3
ASC2629,3
ASC2630,3
ASC2633,3
ASC2634,3
ASC2635,3
ASC2636,3
ASC2642,3
ASC2643,3
ASC2660,3
ASC2662,3
ASC2663,3
ASC2665,3
ASC2667,3
ASC2668,3
ASC2669,3
ASC2673,3
ASC2674,3
ASC2685,3
ASC2686,3
ASC2687,3
ASC2706,0
ASC2707,0
ASC2725,3
ASC2886,7
ASC2887,7
ASC2889,7
ASC2916,7
ASC2922,7
ASC2976,7
ASC2988,7
ASC2989,7
ASC299,4
ASC2990,7
ASC2991,7
ASC2993,7
ASC2994,7
ASC2995,7
ASC300,4
ASC301,4
ASC302,4
ASC303,4
ASC304,4
ASC305,4
ASC3051,7
ASC3054,7
ASC3055,7
ASC3056,7
ASC3059,7
ASC306,4
ASC3060,7
ASC3061,7
ASC3062,7
ASC3063,7
ASC3064,7
ASC3065,7
ASC3066,7
ASC307,4
ASC3074,7
ASC3076,7
ASC309,4
ASC312,4
ASC313,4
ASC315,4
ASC316,4
ASC317,4
ASC318,4
ASC319,4
ASC320,4
ASC321,4
ASC322,4
ASC323,4
ASC324,4
ASC325,4
ASC326,4
ASC327,4
ASC329,4
ASC330,4
ASC333,4
ASC334,4
ASC335,4
ASC338,4
ASC340,4
ASC341,4
ASC3429,7
ASC343,4
ASC3430,7
ASC3431,7
ASC3432,7
ASC3433,7
ASC3434,7
ASC3435,7
ASC3436,7
ASC3437,7
ASC3438,7
ASC3441,7
ASC3442,7
ASC3443,7
ASC3444,7
ASC3445,7
ASC3446,7
ASC3449,7
ASC3454,7
ASC3455,7
ASC3456,7
ASC3457,7
ASC3458,7
ASC3459,7
ASC3460,7
ASC3461,7
ASC3462,7
ASC3463,7
ASC3464,7
ASC3465,7
ASC3466,7
ASC3468,7
ASC3470,7
ASC348,4
ASC352,4
ASC353,4
ASC3541,3
ASC3544,3
ASC357,4
ASC362,4
ASC364,4
ASC365,4
ASC366,4
ASC367,4
ASC368,4
ASC369,4
ASC370,4
ASC371,4
ASC376,4
ASC378,0
ASC379,0
ASC380,0
ASC382,0
ASC3828,3
ASC3830,3
ASC3831,3
ASC3833,3
ASC3834,3
ASC3835,3
ASC3837,3
ASC384,0
ASC385,0
ASC386,0
ASC394,0
ASC396,0
ASC398,0
ASC399,0
ASC401,0
ASC402,0
ASC403,0
ASC408,0
ASC411,0
ASC414,0
ASC427,7
ASC431,7
ASC435,7
ASC443,7
ASC455,7
ASC463,7
ASC620,5
B_A_001,1
B_B_003,1
B_B_004,1
B_B_005,1
B_B_008,1
B_C_001,1
B_C_002,1
B_C_005,1
B_C_006,1
B_D_001,1
B_D_003,1
B_D_004,1
B_D_008,1
B_E_001,1
B_E_002,1
B_E_003,1
B_E_005,1
B_E_006,1
B_F_001,1
B_F_002,1
B_F_003,1
B_F_005,1
B_F_008,1
B_G_001,1
B_G_002,1
B_G_003,1
B_G_006,1
B_G_007,1
B_G_008,1
B_H_001,1
B_H_002,1
B_H_003,1
B_H_004,1
B_I_002,1
B_I_003,1
B_I_004,1
B_I_006,1
B_I_008,1
B_J_001,1
B_J_002,1
B_J_003,1
B_J_004,1
B_J_006,1
B_J_008,1
B_K_002,1
B_K_005,1
E_KKH_P_103_cfDNA,8
E_KKH_P_105_cfDNA,8
E_KKH_P_107_cfDNA,8
E_KKH_P_112_cfDNA,8
E_KKH_P_115_cfDNA,8
E_KKH_P_117_cfDNA,8
E_KKH_P_118_cfDNA,8
E_KKH_P_121_cfDNA,8
E_KKH_P_122_cfDNA,8
E_KKH_P_123_cfDNA,8
E_KKH_P_124_cfDNA,8
E_KKH_P_125_cfDNA,8
E_KKH_P_126_cfDNA,8
E_KKH_P_132_cfDNA,8
E_KKH_P_133_cfDNA,8
E_KKH_P_135_cfDNA,8
E_KKH_P_138_cfDNA,8
E_KKH_P_139_cfDNA,8
E_KKH_P_140_cfDNA,8
E_KKH_P_143_cfDNA,8
E_KKH_P_147_cfDNA,8
E_KKH_P_148_cfDNA,8
E_KKH_P_152_cfDNA,8
E_KKH_P_156_cfDNA,8
E_KKH_P_158_cfDNA,8
E_KKH_P_161_cfDNA,8
E_KKH_P_165_cfDNA,8
E_KKH_P_166_cfDNA,8
E_KKH_P_167_cfDNA,8
E_KKH_P_169_cfDNA,8
E_KKH_P_170_cfDNA,8
E_KKH_P_171_cfDNA,8
E_KKH_P_174_cfDNA,8
E_KKH_P_175_cfDNA,8
E_KKH_P_177_cfDNA,8
E_KKH_P_183_cfDNA,8
E_KKH_P_185_cfDNA,8
E_KKH_P_186_cfDNA,8
E_KKH_P_188_cfDNA,8
E_KKH_P_189_cfDNA,8
E_KKH_P_191_cfDNA,8
E_KKH_P_196_cfDNA,8
NC_064,0
Sample_10_S10,0
Sample_11_S11,0
Sample_15_S15,0
Sample_17_S17,0
Sample_18_S18,0
Sample_21_S21,0
Sample_23_S23,0
Sample_25_S25,0
Sample_26_S26,0
Sample_28_S28,0
Sample_29_S29,0
Sample_31_S31,0
Sample_32_S32,0
Sample_34_S34,0
Sample_35_S35,0
Sample_36_S36,0
a1c42ba16f7f28c2975a63f6db02fa38,0
a6ec7436d2ad92619a8e0df00cdba32f,2
af7bb31e79ddb7d3f3f1f5e26dd9fe66,2
b36910171ac5aa437fd595a066d03a6d,2
bb12f34e587d49db007a56f32b13c3de,2
bba93819e89869bdb7ece39e3c567c44,0
bc05be3536a9219284a2f6fa605de79a,2
bc1cc3ce5a02b2676a8a1894bfa66c84,2
c0113320c9824cb1059934cdf9bfa4d6,2
d0c3cddf9bdba4459ac171ab359cb895,2
da9bc3a8bd8332aea3bb4e677bbdddff,2
e7396031b5fc0e38f177e3f7e2bfe690,0
ea4d83bb386b244c0141f713c3c289f8,2
ebb8d1ad012f8501403d72f16c839942,2
ebe83a97ec2298fd9b29915af3d274de,0
ed5d8f7c8f58b9e0ff78104bda87a58f,2
fd119895d1f7e8bcc6a93ac4a6bc8c64,2
lung_pt001_cfDNA,5
lung_pt004_cfDNA,5
lung_pt011_cfDNA,5
lung_pt014_cfDNA,5
lung_pt019_cfDNA,5
lung_pt022_cfDNA,5
lung_pt024_cfDNA,5
lung_pt025_cfDNA,5
lung_pt028_cfDNA,5
