Sample_ID,class
test_1,0
test_2,0
test_3,0
test_4,0
test_5,0
test_6,2
test_7,0
test_8,0
test_9,0
test_10,0
test_11,0
test_12,2
test_13,2
test_14,2
test_15,0
test_16,0
test_17,0
test_18,0
test_19,2
test_20,0
test_21,0
test_22,0
test_23,0
test_24,0
test_25,0
test_26,0
test_27,0
test_28,0
test_29,0
test_30,0
test_31,0
test_32,0
test_33,0
test_34,0
test_35,0
test_36,0
test_37,0
test_38,0
test_39,2
test_40,0
test_41,0
test_42,0
test_43,0
test_44,0
test_45,0
test_46,2
test_47,0
test_48,0
test_49,0
test_50,0
test_51,2
test_52,0
test_53,2
test_54,0
test_55,0
test_56,0
test_57,0
test_58,0
test_59,0
test_60,0
test_61,0
test_62,0
test_63,2
test_64,0
test_65,0
test_66,0
test_67,0
test_68,0
test_69,2
test_70,2
test_71,5
test_72,2
test_73,5
test_74,5
test_75,5
test_76,5
test_77,5
test_78,5
test_79,5
test_80,5
test_81,5
test_82,5
test_83,5
test_84,5
test_85,2
test_86,5
test_87,5
test_88,5
test_89,5
test_90,5
test_91,2
test_92,5
test_93,5
test_94,5
test_95,5
test_96,5
test_97,5
test_98,5
test_99,0
test_100,0
test_101,4
test_102,4
test_103,4
test_104,4
test_105,4
test_106,4
test_107,4
test_108,4
test_109,4
test_110,4
test_111,4
test_112,2
test_113,4
test_114,4
test_115,4
test_116,4
test_117,7
test_118,7
test_119,7
test_120,7
test_121,7
test_122,7
test_123,7
test_124,7
test_125,7
test_126,7
test_127,7
test_128,2
test_129,7
test_130,7
test_131,7
test_132,8
test_133,8
test_134,8
test_135,8
test_136,2
test_137,8
test_138,8
test_139,6
test_140,6
test_141,6
test_142,6
test_143,6
test_144,6
test_145,2
test_146,6
test_147,6
test_148,6
test_149,6
test_150,0
test_151,0
test_152,0
test_153,2
test_154,0
test_155,0
test_156,0
test_157,0
test_158,0
test_159,0
test_160,0
test_161,0
test_162,0
test_163,0
test_164,0
test_165,0
test_166,0
test_167,0
test_168,0
test_169,0
test_170,2
test_171,0
test_172,0
test_173,5
test_174,5
test_175,5
test_176,5
test_177,5
test_178,5
test_179,2
test_180,5
test_181,5
test_182,5
test_183,5
test_184,5
test_185,5
test_186,5
test_187,5
test_188,5
test_189,5
test_190,5
test_191,5
test_192,5
test_193,5
test_194,5
test_195,5
test_196,5
test_197,5
test_198,5
test_199,5
test_200,5
test_201,5
test_202,5
test_203,5
test_204,5
test_205,2
test_206,5
test_207,5
test_208,5
test_209,5
test_210,5
test_211,5
test_212,2
test_213,5
test_214,5
test_215,5
test_216,5
test_217,5
test_218,2
test_219,5
test_220,5
test_221,5
test_222,5
test_223,5
test_224,4
test_225,2
test_226,4
test_227,4
test_228,4
test_229,4
test_230,2
test_231,4
test_232,2
test_233,5
